ssdl:pid,ssdl:placeOfContributorAffiliation,ssdl:placeOfContributorAffiliationUri,ssdl:dateOfPublication,ssdl:shortTitle
1850-Missou-EMU,United States--Ohio--Hamilton--Cincinnati;United States--Tennessee--Williamson;United States--Missouri--independent city--Saint Louis City,http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/2001930;http://vocab.getty.edu/page/tgn/7022240,1850,The Missouri Harmony
1850-Missou-EMU,United States--Ohio--Hamilton--Cincinnati;United States--Tennessee--Williamson;United States--Missouri--independent city--Saint Louis City,http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/2001930;http://vocab.getty.edu/page/tgn/7022240,1850,The Missouri Harmony
1852-Collec-EMU,"United States, Tennessee, Davidson, Nashville;United States, Georgia, Newton;United States, South Carolina, Anderson, Anderson;United States, Mississippi, Monroe, Aberdeen",http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/2000398;http://vocab.getty.edu/page/tgn/2095244;http://vocab.getty.edu/page/tgn/2055825,1852,A Collection of Hymns
1852-Peters-EMU,"United States, Maryland, independent city, Baltimore",http://vocab.getty.edu/page/tgn/7013352,1851?,Peters' Catholic Harmonist
1852-Reviva-EMU,"United States, Maryland, independent city, Baltimore;United States, Maryland, Talbot;United States, Maryland, Frederick, Frederick",http://vocab.getty.edu/page/tgn/7013352;http://vocab.getty.edu/page/tgn/2000939;http://vocab.getty.edu/page/tgn/7016855,1852,Revival Hymns
1853-Temple-EMU,"United States, New York, Kings, Brooklyn",http://vocab.getty.edu/page/tgn/7015822,1853,Temple Melodies
1853-Wester-EMU,"United States, Tennessee, Marshall, Cornersville",http://vocab.getty.edu/page/tgn/2098633,1853,The Western Psalmodist
1885-Gospel-EMU,"United States, Tennessee, Williamson;United States, Tennessee, Davidson, Nashville",http://vocab.getty.edu/page/tgn/2001930;http://vocab.getty.edu/page/tgn/7013959,1885?,The Gospel Shower
1855-Sacred-EMU,"United States, Indiana, Rush",http://vocab.getty.edu/page/tgn/1002838,1855,The Sacred Psalmist
1855-Vocalm-EMU,"United States, Virginia, independent city, Charlottesville",http://vocab.getty.edu/page/tgn/7013585,1855?,Vocal Music Simplified
1857-Hymnss-EMU,"United States, Pennsylvania, Adams, Gettysburg;United States, Ohio, Franklin, Columbus;United States, Pennsylvania, Adams;United States, New York, Dutchess, Red Hook;United States, New York, Otsego, Hartwick;United States, Virginia, independent city, Winchester;United States, South Carolina, Lexington, Lexington;United States, Virginia, Wythe;United States, Virginia, Roanoke;United States, North Carolina, Rowan, China Grove;United States, Georgia, Bibb, Macon;United States, Ohio, Guernsey;United States, Ohio, Richland, Lucas;United States, Ohio, Hamilton, Cincinnati;United States, Illinois, Montgomery, Hillsboro;United States, Pennsylvania, Bedford, Friends Cove;United States, Indiana, Harrison, Corydon",http://vocab.getty.edu/page/tgn/7014060;http://vocab.getty.edu/page/tgn/7013645;http://vocab.getty.edu/page/tgn/1002137;http://vocab.getty.edu/page/tgn/2071865;http://vocab.getty.edu/page/tgn/2069623;http://vocab.getty.edu/page/tgn/7017708;http://vocab.getty.edu/page/tgn/2096139;http://vocab.getty.edu/page/tgn/2002196;http://vocab.getty.edu/page/tgn/7014344;http://vocab.getty.edu/page/tgn/2074111;http://vocab.getty.edu/page/tgn/7013980;http://vocab.getty.edu/page/tgn/1002432;http://vocab.getty.edu/page/tgn/2080472;http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/2028323;http://vocab.getty.edu/page/tgn/2341005;http://vocab.getty.edu/page/tgn/2031490,1857,"Hymns, Selected and Original"
1857-Kirche-EMU,"United States, Missouri, independent city, Saint Louis",http://vocab.getty.edu/page/tgn/7014444,1857,Kirchen-Gesangbuch f??r Evangelisch-Lutherische Gemeinden
1858-Sacred-EMU,"United States, Ohio, Hamilton, Cincinnati;United States, Ohio, Clark, Springfield;United States, Ohio, Union, Essex",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7014533;http://vocab.getty.edu/page/tgn/2079472,1858,Sacred Melodeon
1859-Songso-EMU,"United States, South Carolina, Charleston, Charleston;United States, Tennessee, Davidson, Nashville",http://vocab.getty.edu/page/tgn/7013582;http://vocab.getty.edu/page/tgn/7013959,1859,Songs of Zion
1859-Southe-EMU,"United States, Tennessee, Davidson, Nashville;United States, Tennessee, Rutherford, Murfreesboro;United States, Tennessee, Cannon, Woodbury",http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/7014175;http://vocab.getty.edu/page/tgn/2102167,1859,The Southern Psalmist
1859-Wesley-EMU,"United States, Virginia, independent city, Richmond;United States, Tennessee, Davidson, Nashville;United States, Virginia, independent city, Petersburg",http://vocab.getty.edu/page/tgn/7013964;http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/7014404,1859,The Wesleyan Hymn and Tune Book
1860-Evange-EMU,"United States, Pennsylvania, Adams, Gettysburg",http://vocab.getty.edu/page/tgn/7014060,1860,Evangelical Lutheran Catechism
1860-Hymnis-EMU,"United States, Ohio, Cuyahoga, East Cleveland",http://vocab.getty.edu/page/tgn/2079358,1860,The Hymnist
1860-Oriola-EMU,"United States, New Jersey, Bloomfield, Essex",http://vocab.getty.edu/page/tgn/2064131,1860,Oriola
1860-Unionh-EMU,"United States, Ohio, Clermont",http://vocab.getty.edu/page/tgn/1002279,1860,The Union Harp and Revival Chorister
1861-Psalms-EMU,"United States, Ohio, Hamilton, Cincinnati;United States, Ohio, Greene, Yellow Springs",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/2082709,1861,Psalms and Hymns and Spiritual Songs
1869-Specim-EMU,,,1869,Specimen of a Church Hymnal
1862-Hymnsf-EMU,,,1862,Hymns for the Camp
1864-Confed-EMU,"United States, South Carolina, Greenville, Greenville;United States, South Carolina, Darlington, Darlington",http://vocab.getty.edu/page/tgn/7014143;http://vocab.getty.edu/page/tgn/2095646,1864,The Confederate Sunday School Hymnbook
1865-Musica-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1865,Musical Leaves for Sabbath Schools
1867-Golden-EMU,"United States, Illinois, Cook, Chicago",http://vocab.getty.edu/page/tgn/7013596,1867,The Golden Crown
1867-Violet-EMU,"United States, Ohio, Hamilton, East Madisonville",http://vocab.getty.edu/page/tgn/2308390,1867,The Violet
