FILENAME ID,HEIGHT,WIDTH,FROM
xxxx-Worldf-MTS,27.5,20,
1925-Comple-MTS,20,13.5,
1923-NewHar-MTS,17.5,24,
1923-Eightn-MTS,30.5,24,
1923-Christ-MTS,26.5,18,
1923-Cheerf-MTS,19.5,13.5,
1922-Echoes-MTS,20,13.5,
1922-Bethle-MTS,19.5,13.5,
1921-Salvat-MTS,21,14.5,
1921-Gospel-MTS,20,14,
1921-Fromth-MTS,19.5,14,
1919-Tiding-MTS,21.5,14.5,
1916-Tiding-MTS,26,13.5,
1912-Joyful-MTS,21,14,
1910-Tearsa-MTS,20.5,14,
1909-Gospel-MTS,19.5,13.5,
1907-Reviva-MTS,20,13.5,
1906-Vaugha-MTS,19.5,13.5,
1906-Oldsto-MTS,19.5,13.5,
1906-Newpra-MTS,21,15,
1905-Search-MTS,18.5,14,
1905-Gleani-MTS,21.5,14,
1904-Resurr-MTS,19.5,13.5,
1903-Joyful-MTS,20.5,13.5,
1902-Songsf-MTS,19.5,14,
1900-Sunday-MTS,20.5,14.5,
1900-Gloryc-MTS,19.5,13.5,
1900-Gemsxx-MTS,20,14,
1900-Fillmo-MTS,20,14,
1900-Bright-MTS,20.5,14,
1899-Reviva-MTS,20.5,14,
1899-Gladti-MTS,21,14.5,
1897-Riches-MTS,21.5,14.5,
1897-Psalms-MTS,22,16.5,
1895-Showal-MTS,19.5,15,
1894-Shiloh-MTS,22.5,15.5,
1893-Spirit-MTS,22,15,
1892-Highwa-MTS,14.5,18.5,
1892-Glorio-MTS,18,25,
1891-Childr-MTS,14.5,18.5,
1890-Gemsan-MTS,14,18,
1886-Noteso-MTS,15,19,
1885-Wondro-MTS,14,18,
1885-Noteso-MTS,14,17,
1881-Gospel-MTS,20.5,13.5,
1877-Newcas-MTS,17.5,25.5,
1873-Triump-MTS,16.5,24.5,
1866-Christ-MTS,16.5,25,
1863-Church-MTS,15.5,24.5,
1857-Church-MTS,14,8,
1925-Excell-MTS,21,15,
191x-Reviva-MTS,20,13.5,
1909-Onehun-MTS,19.5,13.5,
1898-Harpof-MTS,23.5,16,
1861-Pilgri-MTS,32.5,23.5,
185x-Theres-MTS,35,27.5,
1856-Congre-MTS,16.5,25,
1855-Sabbat-MTS,15.5,10.5,
1854-Southe-MTS,15,23,
1854-Social-MTS,12.5,8,
1850-Timbre-MTS,16,25,
1849-Virgin-MTS,10.5,7.5,
1858-Jubilee-MTS,17,25,MTS 2
1909-Newonw-MTS,21,13.5,
1922-Beulah-MTS,19.5,14,
1920-Songan-MTS,21,14.5,
1914-Praise-MTS,20,13.5,
1924-Wonder-MTS,20,13.5,
1917-Garden-MTS,21.5,14.5,
19xx-Godlea-MTS,26.5,18,
1928-Heaven-MTS,19.5,14,
1925-Womens-MTS,19.5,13,
1925-Winnin-MTS,19.5,13.5,
1925-Songs2-MTS,23,15.5,
1925-Scelta-MTS,19.5,13.5,
1925-Living-MTS,20,14,
1925-Joybe2-MTS,19.5,13.5,
1925-Joybe1-MTS,19.5,13.5,
1925-Jehova-MTS,21,14.5,
1925-Instit-MTS,21,14.5,
1925-Heaven-MTS,19.5,13.5,
1925-Aframe-MTS,26.5,17.5,
1924-Hisvoi-MTS,19.5,13.5,
1924-Heave1-MTS,19.5,13.5,
1924-Easter-MTS,23,15.5,
1924-Collec-MTS,30.5,23,
1924-Christ-MTS,19.5,13.5,
1924-Allfor-MTS,19.5,13.5,
1923-Select-MTS,19,13.5,
1923-Newmel-MTS,19.5,13.5,
1923-Kingof-MTS,22.5,15,
1923-Junior-MTS,21.5,15,
1923-Callch-MTS,19.5,13.5,
1923-Awaken-MTS,19.5,14,
1922-Songso-MTS,20.5,14,
1922-Revive-MTS,19.5,13.5,
1922-Hymnsw-MTS,20,13.5,
1922-Hallel-MTS,20,14,
1922-Glorys-MTS,19.5,13.5,
1921-Vaugha-MTS,19,13.5,
1921-Reviva-MTS,19.5,13.5,
1921-Elmhur-MTS,20.5,15,
1921-Alexan-MTS,20,13.5,
1920-Songs3-MTS,20.5,15,
1920-Newper-MTS,19.5,13.5,
1919-Crowns-MTS,20,13.5,
1919-Carols-MTS,19.5,13.5,
1918-Victor-MTS,19.5,14,
1918-Towner-MTS,20,12.5,
1918-Planta-MTS,26,17.5,
1918-Heaven-MTS,19.5,14,
1918-Gladne-MTS,19.5,13.5,
1917-Praise-MTS,19.5,13.5,
1917-Nearth-MTS,19.5,14,
1917-Guidin-MTS,19.5,13.5,
1917-Glorye-MTS,20,13.5,
1917-Eureka-MTS,21.5,14.5,
1916-Gladne-MTS,19.5,13.5,
1915-Soulwi-MTS,19.5,13.5,
1915-HamRam-MTS,20.5,13.5,
1915-Carolc-MTS,19.5,13.5,
1913-Worlde-MTS,20.5,14,
1913-Redemp-MTS,19.5,13.5,
1913-Planta-MTS,21.5,16,
1913-Gospel-MTS,19.5,13.5,
