FILENAME ID,DIMENSION
xxxx-Worldf-MTS,27.5 x 20 cm
1925-Comple-MTS,20 x 13.5 cm
1923-NewHar-MTS,17.5 x 24 cm
1923-Eightn-MTS,30.5 x 24 cm
1923-Christ-MTS,26.5 x 18 cm
1923-Cheerf-MTS,19.5 x 13.5 cm
1922-Echoes-MTS,20 x 13.5 cm
1922-Bethle-MTS,19.5 x 13.5 cm
1921-Salvat-MTS,21 x 14.5 cm
1921-Gospel-MTS,20 x 14 cm
1921-Fromth-MTS,19.5 x 14 cm
1919-Tiding-MTS,21.5 x 14.5 cm
1916-Tiding-MTS,26 x 13.5 cm
1912-Joyful-MTS,21 x 14 cm
1910-Tearsa-MTS,20.5 x 14 cm
1909-Gospel-MTS,19.5 x 13.5 cm
1907-Reviva-MTS,20 x 13.5 cm
1906-Vaugha-MTS,19.5 x 13.5 cm
1906-Oldsto-MTS,19.5 x 13.5 cm
1906-Newpra-MTS,21 x 15 cm
1905-Search-MTS,18.5 x 14 cm
1905-Gleani-MTS,21.5 x 14 cm
1904-Resurr-MTS,19.5 x 13.5 cm
1903-Joyful-MTS,20.5 x 13.5 cm
1902-Songsf-MTS,19.5 x 14 cm
1900-Sunday-MTS,20.5 x 14.5 cm
1900-Gloryc-MTS,19.5 x 13.5 cm
1900-Gemsxx-MTS,20 x 14 cm
1900-Fillmo-MTS,20 x 14 cm
1900-Bright-MTS,20.5 x 14 cm
1899-Reviva-MTS,20.5 x 14 cm
1899-Gladti-MTS,21 x 14.5 cm
1897-Riches-MTS,21.5 x 14.5 cm
1897-Psalms-MTS,22 x 16.5 cm
1895-Showal-MTS,19.5 x 15 cm
1894-Shiloh-MTS,22.5 x 15.5 cm
1893-Spirit-MTS,22 x 15 cm
1892-Highwa-MTS,14.5 x 18.5 cm
1892-Glorio-MTS,18 x 25 cm
1891-Childr-MTS,14.5 x 18.5 cm
1890-Gemsan-MTS,14 x 18 cm
1886-Noteso-MTS,15 x 19 cm
1885-Wondro-MTS,14 x 18 cm
1885-Noteso-MTS,14 x 17 cm
1881-Gospel-MTS,20.5 x 13.5 cm
1877-Newcas-MTS,17.5 x 25.5 cm
1873-Triump-MTS,16.5 x 24.5 cm
1866-Christ-MTS,16.5 x 25 cm
1863-Church-MTS,15.5 x 24.5 cm
1857-Church-MTS,14 x 8 cm
1925-Excell-MTS,21 x 15 cm
191x-Reviva-MTS,20 x 13.5 cm
1909-Onehun-MTS,19.5 x 13.5 cm
1898-Harpof-MTS,23.5 x 16 cm
1861-Pilgri-MTS,32.5 x 23.5 cm
185x-Theres-MTS,35 x 27.5 cm
1856-Congre-MTS,16.5 x 25 cm
1855-Sabbat-MTS,15.5 x 10.5 cm
1854-Southe-MTS,15 x 23 cm
1854-Social-MTS,12.5 x 8 cm
1850-Timbre-MTS,16 x 25 cm
1849-Virgin-MTS,10.5 x 7.5 cm
1858-Jubilee-MTS,17 x 25 cm
1909-Newonw-MTS,21 x 13.5 cm
1922-Beulah-MTS,19.5 x 14 cm
1920-Songan-MTS,21 x 14.5 cm
1914-Praise-MTS,20 x 13.5 cm
1924-Wonder-MTS,20 x 13.5 cm
1917-Garden-MTS,21.5 x 14.5 cm
19xx-Godlea-MTS,26.5 x 18 cm
1928-Heaven-MTS,19.5 x 14 cm
1925-Womens-MTS,19.5 x 13 cm
1925-Winnin-MTS,19.5 x 13.5 cm
1925-Songs2-MTS,23 x 15.5 cm
1926-Scelta-MTS,19.5 x 13.5 cm
1925-Living-MTS,20 x 14 cm
1927-Joybel-MTS,19.5 x 13.5 cm
1925-Joybe1-MTS,19.5 x 13.5 cm
1925-Jehova-MTS,21 x 14.5 cm
1925-Instit-MTS,21 x 14.5 cm
1925-Heaven-MTS,19.5 x 13.5 cm
1925-Aframe-MTS,26.5 x 17.5 cm
1924-Hisvoi-MTS,19.5 x 13.5 cm
1924-Heave1-MTS,19.5 x 13.5 cm
1924-Easter-MTS,23 x 15.5 cm
1924-Collec-MTS,30.5 x 23 cm
1924-Christ-MTS,19.5 x 13.5 cm
1924-Allfor-MTS,19.5 x 13.5 cm
1923-Select-MTS,19 x 13.5 cm
1923-Newmel-MTS,19.5 x 13.5 cm
1923-Kingof-MTS,22.5 x 15 cm
1923-Junior-MTS,21.5 x 15 cm
1923-Callch-MTS,19.5 x 13.5 cm
1923-Awaken-MTS,19.5 x 14 cm
1922-Songso-MTS,20.5 x 14 cm
1922-Revive-MTS,19.5 x 13.5 cm
1922-Hymnsw-MTS,20 x 13.5 cm
1922-Hallel-MTS,20 x 14 cm
1922-Glorys-MTS,19.5 x 13.5 cm
1927-Vaugha-MTS,19 x 13.5 cm
1921-Reviva-MTS,19.5 x 13.5 cm
1921-Elmhur-MTS,20.5 x 15 cm
1921-Alexan-MTS,20 x 13.5 cm
19xx-Songso-MTS,20.5 x 15 cm
1920-Newper-MTS,19.5 x 13.5 cm
1919-Crowns-MTS,20 x 13.5 cm
1919-Carols-MTS,19.5 x 13.5 cm
1914-Victor-MTS,19.5 x 14 cm
1918-Towner-MTS,20 x 12.5 cm
1918-Planta-MTS,26 x 17.5 cm
1918-Heaven-MTS,19.5 x 14 cm
1918-Gladne-MTS,19.5 x 13.5 cm
1917-Praise-MTS,19.5 x 13.5 cm
1917-Nearth-MTS,19.5 x 14 cm
1917-Guidin-MTS,19.5 x 13.5 cm
1917-Glorye-MTS,20 x 13.5 cm
1917-Eureka-MTS,21.5 x 14.5 cm
1916-Gladne-MTS,19.5 x 13.5 cm
1915-Soulwi-MTS,19.5 x 13.5 cm
1915-HamRam-MTS,20.5 x 13.5 cm
1915-Carolc-MTS,19.5 x 13.5 cm
1913-Worlde-MTS,20.5 x 14 cm
1913-Redemp-MTS,19.5 x 13.5 cm
1913-Planta-MTS,21.5 x 16 cm
1913-Gospel-MTS,19.5 x 13.5 cm
1912-Window-MTS,20 x 14 cm
1912-Songan-MTS,16 x 11.5 cm
1912-Harpof-MTS,19.5 x 13.5 cm
1911-Crowni-MTS,19.5 x 13.5 cm
1909-Window-MTS,19.5 x 13.5 cm
1909-Evange-MTS,20.5 x 14 cm
1908-Twelft-MTS,19.5 x 13.5 cm
1908-Songso-MTS,19.5 x 13.5 cm
1907-Bestof-MTS,21 x 14 cm
1906-Starof-MTS,19 x 14.5 cm
1906-Gladho-MTS,19.5 x 13.5 cm
1905-Songs1-MTS,20 x 14.5 cm
1902-Primit-MTS,21 x 14 cm
1900-Epwort-MTS,20.5 x 15 cm
1899-Gospel-MTS,20.5 x 14 cm
1898-Silver-MTS,21 x 14.5 cm
1897-Seedso-MTS,21 x 15 cm
1895-Songof-MTS,20.5 x 14.5 cm
1895-Dortch-MTS,21.5 x 15 cm
1893-Unfadi-MTS,20 x 14 cm
1892-Little-MTS,15.5 x 12 cm
1887-Triump-MTS,20.5 x 14 cm
1887-Songso-MTS,20.5 x 14 cm
1911-Jewels-MTS,19.5 x 13.5 cm
1909-Cumber-MTS,20 x 14 cm
1912-Newrev-MTS,19.5 x 13.5 cm
1904-Sunlig-MTS,21 x 14 cm
1904-Songso-MTS,20.5 x 14 cm
1898-Fillmo-MTS,19 x 14 cm
1925-Musikl-MTS,23 x 14.5 cm
1925-Harbor-MTS,20 x 13.5 cm
1921-Glorye-MTS,19.5 x 13.5 cm
1920-Practi-MTS,21 x 14 cm
1920-Highwa-MTS,20.5 x 14 cm
1920-Bellso-MTS,19.5 x 13.5 cm
1853-Harpof-MTS,16 x 25 cm
190x-Nation-MTS,20 x 13.5 cm
1921-Songsf-MTS,20.5 x 14 cm
1921-Musict-MTS,19.5 x 13.5 cm
1918-Harves-MTS,20 x 13.5 cm
190x-Vaugha-MTS,19.5 x 13.5 cm
1910-Voices-MTS,19.5 x 14 cm
1907-Pilger-MTS,20.5 x 14.5 cm
1907-Patton-MTS,19.5 x 14.5 cm
1907-Happyd-MTS,20 x 14 cm
1905-Winnow-MTS,20 x 14 cm
1905-Eureka-MTS,20.5 x 14.5 cm
1902-Gemsfo-MTS,20 x 14 cm
1900-Dortch-MTS,21.5 x 15 cm
1899-Psalms-MTS,21.5 x 16.5 cm
1899-Highwa-MTS,19.5 x 15 cm
1894-PerleS-MTS,20 x 14 cm
1893-Blessi-MTS,19 x 15 cm
1892-Whiter-MTS,22 x 15.5 cm
1884-Lieder-MTS,20.5 x 13.5 cm
1867-Jugend-MTS,20 x 13.5 cm
1924-Songsf-MTS,20.5 x 14 cm
1924-Livin2-MTS,20 x 13.5 cm
1924-Livin1-MTS,19.5 x 14 cm
1924-Joytot-MTS,19.5 x 13.5 cm
1923-Songla-MTS,19.5 x 13.5 cm
1922-Ninety-MTS,19.5 x 13.5 cm
1919-Trutha-MTS,19.5 x 13.5 cm
1919-Songso-MTS,20 x 13.5 cm
1919-Shinin-MTS,19.5 x 13.5 cm
1918-Reviv2-MTS,19.5 x 13.5 cm
1918-Reviv1-MTS,20 x 14 cm
1910-Kingsp-MTS,19.5 x 13.5 cm
1900-Gospel-MTS,21.5 x 14.5 cm
1924-Heave2-MTS,19.5 x 13.5 cm
1901-Window-MTS,20 x 14 cm
1920-Heaven-MTS,19.5 x 13.5 cm
1896-Window-MTS,20 x 13.5 cm
1924-Gospel-MTS,20 x 13.5 cm
1924-Shinin-MTS,20 x 13 cm
1922-Hispra-MTS,19.5 x 13.5 cm
1913-Praise-MTS,20.5 x 14 cm
1924-Herald-MTS,19.5 x 13.5 cm
1907-Organo-MTS,22.5 x 28.5 cm
1901-Psalms-MTS,13 x 9 cm
1899-Storyo-MTS,19 x 14 cm
1898-Golden-MTS,14 x 18 cm
1894-Treble-MTS,25 x 17.5 cm
1894-Lieder-MTS,14 x 19 cm
1892-Trieda-MTS,15 x 19 cm
1889-Songso-MTS,18.5 x 15 cm
1889-Herber-MTS,25 x 18.5 cm
1888-Modern-MTS,24.5 x 18 cm
1888-Garner-MTS,15.5 x 19.5 cm
1887-Musica-MTS,17.5 x 25.5 cm
1887-Empire-MTS,17 x 24.5 cm
1886-Flower-MTS,19.5 x 15 cm
1885-McPhai-MTS,25 x 18.5 cm
1885-Herber-MTS,15.5 x 21 cm
1884-Englis-MTS,23.5 x 15.5 cm
1883-Hallel-MTS,14.5 x 17.5 cm
1882-Tribut-MTS,20.5 x 15 cm
1882-Songso-MTS,14 x 18 cm
1882-Lieder-MTS,13 x 8.5 cm
1882-Davids-MTS,24.5 x 18 cm
1881-Hearta-MTS,14 x 18 cm
1881-Gemofg-MTS,14 x 18.5 cm
1880-Undert-MTS,20.5 x 15.5 cm
1880-Gateso-MTS,14 x 17.5 cm
1878-Univer-MTS,13.5 x 9.5 cm
1878-Heaven-MTS,13.5 x 17.5 cm
1877-Songso-MTS,14 x 17.5 cm
1876-Spirit-MTS,17.5 x 11 cm
1876-Songhe-MTS,16.5 x 24 cm
1874-Songer-MTS,16.5 x 24.5 cm
1874-Melodi-MTS,17 x 11.5 cm
1874-Corone-MTS,13 x 17 cm
1874-Cabina-MTS,21.5 x 15.5 cm
1873-Manner-MTS,16.5 x 24.5 cm
1872-Puredi-MTS,13.5 x 17 cm
1871-Truesi-MTS,16.5 x 24.5 cm
1871-Charmc-MTS,12.5 x 16 cm
1870-WestVi-MTS,14.5 x 11 cm
1870-Sacred-MTS,15.5 x 23 cm
1869-Christ-MTS,18.5 x 12 cm
1867-Songso-MTS,12.5 x 16 cm
1867-Chants-MTS,17 x 13.5 cm
1864-Devoti-MTS,16.5 x 13 cm
1860-Church-MTS,20 x 13.5 cm
1859-Songsf-MTS,13.5 x 19 cm
1854-Church-MTS,20.5 x 12.5 cm
1853-Timbre-MTS,16 x 24.5 cm
1852-Romber-MTS,16 x 25 cm
1850-Golden-MTS,16.5 x 25 cm
1843-Manual-MTS,16.5 x 10.5 cm
1932-Fortys-MTS,22.5 x 15 cm
1928-Sparkl-MTS,19.5 x 13.5 cm
1925-Songs1-MTS,19.5 x 13.5 cm
1925-Signal-MTS,19.5 x 13 cm
1917-Servic-MTS,18.5 x 13 cm
1917-Modern-MTS,19.5 x 13.5 cm
1916-Gleane-MTS,20 x 13.5 cm
1915-Heaven-MTS,19.5 x 13.5 cm
1914-Tenles-MTS,19.5 x 13.5 cm
1914-Perenn-MTS,19.5 x 13 cm
1913-Newson-MTS,20 x 14 cm
1912-Songso-MTS,20 x 14 cm
1912-Eureka-MTS,19.5 x 14 cm
1912-Alexan-MTS,19.5 x 13 cm
1911-Songso-MTS,19.5 x 13.5 cm
1906-Mehrst-MTS,20.5 x 28 cm
1906-GVhymn-MTS,20.5 x 14 cm
1905-Songs2-MTS,20.5 x 14 cm
1904-Practi-MTS,21 x 13.5 cm
1904-Perrys-MTS,21 x 14 cm
1903-Hymnso-MTS,21 x 15 cm
1902-Favori-MTS,27 x 20 cm
1902-Bibles-MTS,19 x 13 cm
1901-Hymnso-MTS,21 x 14.5 cm
1900-Practi-MTS,25.5 x 18 cm
1900-Pentec-MTS,21.5 x 14.5 cm
1897-Select-MTS,19.5 x 14 cm
1897-Romanh-MTS,14 x 10 cm
1897-Anthem-MTS,25.5 x 18.5 cm
1896-Anthem-MTS,27 x 18.5 cm
1892-Songsa-MTS,21.5 x 13.5 cm
1891-Cabina-MTS,23.5 x 15.5 cm
1878-Precio-MTS,13.5 x 17.5 cm
1878-Harves-MTS,17 x 24.5 cm
1871-Crowno-MTS,12.5 x 16.4 cm
1914-Eureka-MTS,19.5 x 13.5 cm
1912-Sunnys-MTS,20.5 x 14 cm
1901-Songso-MTS,21 x 14 cm
1907-Select-MTS,21 x 14 cm
1913-Happyv-MTS,19.5 x 14 cm
1916-Praise-MTS,20 x 13.5 cm
1920-Songs1-MTS,20.5 x 14.5 cm
1888-Deutsc-MTS,21.5 x 15 cm
1921-Mostpo-MTS,19.5 x 13.5 cm
1920-Songs2-MTS,20 x 13.5 cm
1908-Bethan-MTS,20.5 x 14 cm
1918-Beauti-MTS,19.5 x 14 cm
192x-Gospel-MTS,20 x 13.5 cm
1905-Soulso-MTS,20.5 x 14.5 cm
1904-Living-MTS,19.5 x 13.5 cm
1911-Quarte-MTS,19.5 x 13.5 cm
1906-Living-MTS,19.5 x 13.5 cm
1909-Breado-MTS,19.5 x 13.5 cm
19xx-Tobacc-MTS,19.5 x 14 cm
1921-Gospel-MTS,19.5 x 13.5 cm
1915-Songso-MTS,19.5 x 13.5 cm
1921-Glorio-MTS,19.5 x 13.5 cm
1920-Evange-MTS,20 x 13.5 cm
1925-Blesse-MTS,20.5 x 13.5 cm
1915-Immanu-MTS,20 x 14 cm
1925-Master-MTS,20.5 x 14.5 cm
1895-Psalms-MTS,22 x 16 cm
1908-Gesang-MTS,15.5 x 10 cm
1917-Allwin-MTS,19.5 x 14 cm
1843-Dupuys-UKY,12.5 x 7.8 cm
1850-Hymnsf-UKY,16.5 x 10.5 cm
1851-Christ-UKY,15.5 x 11.5 cm
1852-Psalms-UKY,12 x 8 cm
1853-Shawml-UKY,17 x 24.5 cm
1854-Psalmi-UKY,16.5 x 10.5 cm
1858-Christ-UKY,12 x 8.5 cm
1859-Pastor-UKY,20 x 14 cm
1865-Christ-UKY,13.5 x 9 cm
1866-Christ-UKY,12 x 7.5 cm
1866-Tefilo-UKY,16.5 x 12 cm
1867-Psalms-UKY,14 x 9 cm
1867-Taboro-UKY,18 x 26 cm
1868-Silver-UKY,19.5 x 13.5 cm
1870-NewChr-UKY,16.5 x 25 cm
1871-Israel-UKY,19 x 12.5 cm
1871-Songki-UKY,16.5 x 25 cm
1871-Sparkl-UKY,19.5 x 13 cm
1872-Collec-UKY,13.5 x 8.5 cm
1872-Gloryc-UKY,16.5 x 24 cm
1872-Hymnso-UKY,21 x 14 cm
1873-Amaran-UKY,13.5 x 17 cm
1873-Hermon-UKY,17 x 25 cm
1873-Sunshi-UKY,13.5 x 17.5 cm
1874-Gospel-UKY,19.5 x 13.5 cm
1874-Hallow-UKY,14.5 x 11.5 cm
1874-Palmer-UKY,14 x 18 cm
1875-Choira-UKY,22.5 x 19 cm
1875-Starry-UKY,13.5 x 18.5 cm
1876-NewHar-UKY,16 x 25 cm
1877-Choice-UKY,15.5 x 11 cm
1878-Gabrie-UKY,14.5 x 18 cm
1878-Hymna1-UKY,17 x 11 cm
1878-Hymna2-UKY,18 x 13 cm
1879-Hourso-UKY,16.5 x 25 cm
1879-Joytow-UKY,18 x 12.5 cm
1879-Newcho-UKY,22.5 x 19 cm
1879-Shinin-UKY,14.5 x 18 cm
1880-Popula-UKY,14 x 9 cm
1880-Sharon-UKY,21 x 14.5 cm
1881-Crowno-UKY,17 x 24.5 cm
1881-Greatj-UKY,20 x 13.5 cm
1882-Christ-UKY,22 x 16 cm
1882-Hourso-UKY,19.5 x 14 cm
1883-Christ-UKY,20 x 15.5 cm
1883-Spirit-UKY,20 x 14 cm
1884-Gospel-UKY,13.75 x 17.5 cm
1885-Christ-UKY,17 x 14 cm
1885-Zionso-UKY,14.5 x 18 cm
1886-Carolb-UKY,20 x 15.5 cm
1886-Newsta-UKY,15 x 18 cm
1886-Royalp-UKY,17 x 25 cm
1887-Gospel-UKY,20.5 x 14 cm
