PID,ssdl:notation,location,Date,ssdl:shortTitle,Long,Lati
1850-Missou-EMU,Four-shape,"Cincinnati, OH",1850,The Missouri Harmony,-84.45,39.15
1850-Missou-EMU,Four-shape,"Cincinnati, OH",1850,The Missouri Harmony,-84.45,39.15
1852-Collec-EMU,Nil,"Richmond, VA",1852,A Collection of Hymns,-77.45,37.55
1852-Peters-EMU,Round,"Saint Louis, MO;Cincinnati, OH",1851,Peters' Catholic Harmonist,-90.1833;-84.45,38.6167;39.15
1852-Reviva-EMU,Nil,"Baltimore, MD",1852,Revival Hymns,-76.6,39.2833
1853-Temple-EMU,Nil,"New York, NY;Boston, MA;Cincinnati, OH",1853,Temple Melodies,-74;-71.05;-84.45,40.7;42.35;39.15
1853-Wester-EMU,Seven-shape Johnson,"Nashville, TN",1853,The Western Psalmodist,-86.761,36.154
1885-Gospel-EMU,Seven-shape Aikin,"Dayton, VA;Philadelphia, PA;Dalton, GA;Barnesville, GA;Columbia, TN",1885,The Gospel Shower,-78.9333;-75.15;-84.9667;-84.15;-84.15;-86.75,38.4;39.95;34.7667;33.05;33.05;36.1667
1855-Sacred-EMU,Numeral,"Cincinnati, OH",1855,The Sacred Psalmist,-84.45,39.15
1855-Vocalm-EMU,Round,"Baltimore, MD?",1855,Vocal Music Simplified,-76.6,39.2833
1857-Hymnss-EMU,Nil,"Baltimore, MD",1857,"Hymns, Selected and Original",-76.6,39.2833
1857-Kirche-EMU,Nil,"St. Louis, MO",1857,Kirchen-Gesangbuch f??r Evangelisch-Lutherische Gemeinden,-90.1833,38.6167
1858-Sacred-EMU,Nil,"Cincinnati, OH",1858,Sacred Melodeon,-84.45,39.15
1859-Songso-EMU,Nil,"Nashville, TN",1859,Songs of Zion,-86.761,36.154
1859-Southe-EMU,Nil,"Nashville, TN",1859,The Southern Psalmist,-86.761,36.154
1859-Wesley-EMU,Round,"Nashville, TN",1859,The Wesleyan Hymn and Tune Book,-86.761,36.154
1860-Evange-EMU,Nil,"Baltimore, MD",1860,Evangelical Lutheran Catechism,-76.6,39.2833
1860-Hymnis-EMU,Round,"Cincinnati, OH",1860,The Hymnist,-84.45,39.15
1860-Oriola-EMU,Round,"Cincinnati, OH;New York, NY",1860,Oriola,-84.45;-74,39.15;40.7
1860-Unionh-EMU,Round,"Cincinnati, OH",1860,The Union Harp and Revival Chorister,-84.45,39.15
1861-Psalms-EMU,Nil,"Cincinnati, OH",1861,Psalms and Hymns and Spiritual Songs,-84.45,39.15
1869-Specim-EMU,Nil,"Baltimore, MD",1869,Specimen of a Church Hymnal,-76.6,39.2833
1862-Hymnsf-EMU,Nil,"Raleigh, NC",1862,Hymns for the Camp,-78.6333,35.7667
1864-Confed-EMU,Nil,"Greenville, SC",1864,The Confederate Sunday School Hymnbook,-82.3833,34.85
1865-Musica-EMU,Round,"Cincinnati, OH",1865,Musical Leaves for Sabbath Schools,-84.45,39.15
1867-Golden-EMU,Round,"Cincinnati, OH",1867,The Golden Crown,-84.45,39.15
1867-Violet-EMU,Round;Numeral staff,"Cincinnati, OH",1867,The Violet,-84.45,39.15
