PID,ssdl:notation,location,Date,Long,Lati
1850-Missou-EMU,Four-shape,"Cincinnati, OH",1850,-84.45,39.15
1850-Missou-EMU,Four-shape,"Cincinnati, OH",1850,-84.45,39.15
1852-Collec-EMU,Nil,"Richmond, VA",1852,-77.45,37.55
1852-Peters-EMU,Round,"Saint Louis, MO;Cincinnati, OH",1851,-90.1833;-84.45,38.6167;39.15
1852-Reviva-EMU,Nil,"Baltimore, MD",1852,-76.6,39.2833
1853-Temple-EMU,Nil,"New York, NY;Boston, MA;Cincinnati, OH",1853,-74;-71.05;-84.45,40.7;42.35;39.15
1853-Wester-EMU,Seven-shape Johnson,"Nashville, TN",1853,-86.761,36.154
1885-Gospel-EMU,Seven-shape Aikin,"Dayton, VA;Philadelphia, PA;Dalton, GA;Barnesville, GA;Columbia, TN",1885,-78.9333;-75.15;-84.9667;-84.15;-84.15;-86.75,38.4;39.95;34.7667;33.05;33.05;36.1667
1855-Sacred-EMU,Numeral,"Cincinnati, OH",1855,-84.45,39.15
1855-Vocalm-EMU,Round,"Baltimore, MD?",1855,-76.6,39.2833
1857-Hymnss-EMU,Nil,"Baltimore, MD",1857,-76.6,39.2833
1857-Kirche-EMU,Nil,"St. Louis, MO",1857,-90.1833,38.6167
1858-Sacred-EMU,Nil,"Cincinnati, OH",1858,-84.45,39.15
1859-Songso-EMU,Nil,"Nashville, TN",1859,-86.761,36.154
1859-Southe-EMU,Nil,"Nashville, TN",1859,-86.761,36.154
1859-Wesley-EMU,Round,"Nashville, TN",1859,-86.761,36.154
1860-Evange-EMU,Nil,"Baltimore, MD",1860,-76.6,39.2833
1860-Hymnis-EMU,Round,"Cincinnati, OH",1860,-84.45,39.15
1860-Oriola-EMU,Round,"Cincinnati, OH;New York, NY",1860,-84.45;-74,39.15;40.7
1860-Unionh-EMU,Round,"Cincinnati, OH",1860,-84.45,39.15
1861-Psalms-EMU,Nil,"Cincinnati, OH",1861,-84.45,39.15
1869-Specim-EMU,Nil,"Baltimore, MD",1869,-76.6,39.2833
1862-Hymnsf-EMU,Nil,"Raleigh, NC",1862,-78.6333,35.7667
1864-Confed-EMU,Nil,"Greenville, SC",1864,-82.3833,34.85
1865-Musica-EMU,Round,"Cincinnati, OH",1865,-84.45,39.15
1867-Golden-EMU,Round,"Cincinnati, OH",1867,-84.45,39.15
1867-Violet-EMU,Round;Numeral staff,"Cincinnati, OH",1867,-84.45,39.15
1868-Chapel-EMU,Round,"Cincinnati, OH",1868,-84.45,39.15
1868-Eclect-EMU,Nil,"Baltimore, MA",1868,-76.6,39.2833
1868-Hymnsa-EMU,Round,"Cincinnati, OH",1868,-84.45,39.15
1868-School-EMU,Nil,"New York, NY",1868,-74,40.7
1868-Shinin-EMU,Round,"Cincinnati, OH",1868,-84.45,39.15
1869-Songsf-EMU,Round,"Chicago, IL",1869,-87.65,41.85
1871-Christ-EMU,Round,"Cincinnati, OH",1871,-84.45,39.15
1871-Kindwo-EMU,Round,"Memphis, TN",1871,-90.0333,35.1333
1872-Harfen-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",1872,-84.45;-87.65;-90.1833;-74,39.15;41.85;38.6167;40.7
1872-Newhar-EMU,Numeral staff;Round,"Cincinnati, OH",1872,-84.45,39.15
1873-Fruits-EMU,Seven-shape Walker,"Philadelphia, PA",1873,-75.15,39.95
1873-Hymnsf-EMU,Nil,"Nashville, TN",1873,-86.761,36.154
1873-Songsf-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",1873,-84.45;-87.65;-90.1833;-74,39.15;41.85;38.6167;40.7
1874-Bookof-EMU,Round,"Richmond, VA",1874,-77.45,37.55
1874-Contri-EMU,Round,"Baltimore, MD",1874,-76.6,39.2833
1874-Everys-EMU,Round,"Cincinnati, OH",1874,-84.45,39.15
1874-Golden-EMU,Round,"Cincinnati, OH",1874,-84.45,39.15
1874-Palmof-EMU,Round,"St. Louis, MO",1874,-90.1833,38.6167
1876-Bibles-EMU,Round,"Nashville, TN",1876,-86.761,36.154
