ssdl:pid,ssdl:scoringSummary,ssdl:totalScoring,ssdl:dimensions
1850-Missou-EMU,"V (4), Coro, org (pf)","Treble (2)
T
B
Coro: S
Coro: A
Coro: T
Coro: B
tr
org (pf)",14.5 x 23.5 cm
1850-Missou-EMU,"V (4), Coro, org (pf)","Treble (2)
T
B
Coro: S
Coro: A
Coro: T
Coro: B
tr
org (pf)",14.5 x 23.5 cm
1852-Collec-EMU,Nil,Nil,12.5 x 7.5 cm
1852-Peters-EMU,"V (4), Coro, org","S (2)
A
T
B
Coro: S (2)
Coro: T
Coro: B
org (pf)",25 x 18 cm
1852-Reviva-EMU,Nil,Nil,11.5 x 6.5 cm
1853-Temple-EMU,"V (3), Coro, org","Treble
Alto
Bass 
S 
A 
T
B
org (pf)",18 x 13 cm
1853-Wester-EMU,Coro,"Coro: Treble
Coro: T
Coro: B",15 x 24.5 cm
1885-Gospel-EMU,"V (2), Coro, keyb","Soprano
Tenor
Coro: S
Coro: A
Coro: T
Coro: B
keyb",21 x 14.5 cm
1855-Sacred-EMU,Coro,"Coro: Treble
Coro: T
Coro: B",17 x 12 cm
1855-Vocalm-EMU,"Coro, pf","Coro: S (2)
Coro: A
Coro: T (2)
Coro: Bariton
Coro: B
pf",19.5 x 13 cm
1857-Hymnss-EMU,Nil,Nil,13.5 x 8 cm
1857-Kirche-EMU,Nil,Nil,15 x 9.5 cm
1858-Sacred-EMU,Nil,Nil,11.5 x 7.5 cm
1859-Songso-EMU,Nil,Nil,19.5 x 13 cm
1859-Southe-EMU,Nil,Nil,15.5 x 9 cm
1859-Wesley-EMU,Coro,"Coro: S
Coro: A
Coro: T
Coro: B",23.5 x 15.5 cm
1860-Evange-EMU,Nil,Nil,
1860-Hymnis-EMU,"Coro, keyb","Coro: S
Coro: A
Coro: T
Coro: B
keyb",14.5 x 9.5 cm
1860-Oriola-EMU,"Coro di fanciulli, Coro, melodeon (pf)","Coro di fanciulli 1: S
Coro di fanciulli 1: A
Coro di fanciulli 2: S
Coro di fanciulli 2: A
Coro: S
Coro: A
Coro: T
Coro: B
melodeon (pf)",13 x 16.5 cm
1860-Unionh-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",13.5 x 9.5 cm
1861-Psalms-EMU,Nil,Nil,13.5 x 9 cm
1869-Specim-EMU,Nil,Nil,13 x 8 cm
1862-Hymnsf-EMU,Nil,Nil,11 x 7.5 cm
1864-Confed-EMU,Nil,Nil,10.5 x 7 cm
1865-Musica-EMU,"V (2) Coro di fanciulli, Coro, keyb","Treble
Alto
Coro di fanciulli 1: Treble
Coro di fanciulli 1: A
Coro di fanciulli 2: Treble
Coro di fanciulli 2: A
Coro Treble
Coro A
Coro T
Coro B
keyb",
1867-Golden-EMU,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli S
Coro di fanciulli A
Coro S
Coro A
Coro T
Coro B
keyb",12 x 16 cm
1867-Violet-EMU,"V (2), Coro di fanciulli, Coro, keyb","Treble
Counter
Coro di fanciulli Treble
Coro di fanciulli Counter
Coro Treble
Coro Counter
Coro T
Coro B
keyb",12.5 x 15.5 cm
1868-Chapel-EMU,"Coro di fanciulli, Coro, keyb","Coro di fanciulli S
Coro di fanciulli A
Coro S
Coro A
Coro T
Coro B
keyb",16 x 12.5 cm
1868-Eclect-EMU,Nil,Nil,14 x 9 cm
1868-Hymnsa-EMU,"S, Coro, keyb","S
Coro S
Coro A
Coro T
Coro B
keyb",17 x 11 cm
1868-School-EMU,Nil,Nil,12.5 x 8.5 cm
1868-Shinin-EMU,"S, A, Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",19 x 12.5 cm
1869-Songsf-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",22.5 x 15 cm
1871-Christ-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",18 x 12.5 cm
1871-Kindwo-EMU,"Coro, Coro di fanciulli","Coro di fanciulli S
Coro di fanciulli A
Coro T
Coro B",12 x 16 cm
1872-Harfen-EMU,"S (2), A, Coro, keyb","S (2)
A 
B
Coro di fanciuli 1: S
Coro di fanciuli 2: S
Coro S
Coro di fanciuli 1: A
Coro di fanciuli 2: A
Coro: A
Coro T
Coro B
keyb",20 x 13 cm
1872-Newhar-EMU,Coro,"S
(A)
Coro S
Coro A
Coro T
Coro B",16 x 24.5 cm
1873-Fruits-EMU,"S, Coro di fanciulli, (keyb)","S
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro: B
(keyb)",14 x 18 cm
1873-Hymnsf-EMU,Nil,Nil,11.5 x 7 cm
1873-Songsf-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",13 x 17 cm
1874-Bookof-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",23.5 x 16 cm
1874-Contri-EMU,"Coro, keyb","Coro S
Coro A
Coro T
Coro B
keyb",17.5 x 14 cm
1874-Everys-EMU,"V (6), Coro, keyb","S (2)
A
T
Bariton
Bass
Coro: S
Coro: A
Coro: T
Coro: B
keyb",14 x 17.5 cm
1874-Golden-EMU,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",13 x 17.5 cm
1874-Palmof-EMU,"V, Coro, keyb","S
(A)
Coro S
Coro A
Coro T
Coro B
keyb",17.5 x 25 cm
1876-Bibles-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",21.5 x 16 cm
1875-Devoti-EMU,Nil,Nil,15 x 10.5 cm
1875-Gospel-EMU,"V (2), Coro","S
A
Coro 1: S
Coro 1: A
Coro 1: T
Coro 1: B
Coro 2: S
Coro 2: A
Coro 2: T
Coro 2: B
(keyb)",19 x 13 cm
1876-Melodi-EMU,"S, Coro, keyb","S
Coro 1: S
Coro 1: A
Coro 1: T
Coro 1: B
Coro 2: S
Coro 2: A
keyb",14 x 18 cm
1876-Storyo-EMU,"V, Coro","S (T)
Coro",19.5 x 14 cm
1877-Jasper-EMU,"V (6), Coro, keyb","S (2)
A (2)
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",14.5 x 18 cm
1877-Mornin-EMU,"V (2), Coro, org","S
A
(T)
(B)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org",20 x 13 cm
1877-Newmel-EMU,"S, Coro, keyb","S
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro: T
Coro: B
keyb",14.5 x 18 cm
1878-Golden-EMU,"S, Coro, keyb","S 
(A)
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro: T
Coro: B
keyb",13.5 x 17.5 cm
1878-Gospe1-EMU,"S, Coro, keyb","S 
(A)
(T)
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13 cm
1878-Gospe2-EMU,"T, Bariton, Coro, keyb","T
(T)
Bariton
Coro T (2)
Coro B (2)
keyb",16 x 24 cm
1878-Helpin-EMU,"Coro, keyb","(S)
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro A
Coro T
Coro B
keyb",13.5 x 17.5 cm
1878-Hymnal-EMU,Coro,"S
(A)
Coro S
Coro A
Coro T
Coro B
keyb",18.5 x 13 cm
1878-Lastwo-EMU,"S, A, Coro","S
A
Coro S
Coro A
Coro T
Coro B
keyb",14.5 x 18 cm
1878-Revivi-EMU,Nil,Nil,13.5 x 10 cm
1878-Tiding-EMU,"T, Coro, keyb","T
Coro S
Coro A
Coro T
Coro B
keyb",13.5 x 10 cm
1879-Bapti2-EMU,V,V (2),12 x 8 cm
1879-Primit-EMU,"S, A, Coro, org","S
A
(T)
Coro S
Coro A
Coro T
Coro B
org",20 x 15 cm
1879-Sacred-EMU,Nil,Nil,12.5 x 9 cm
1879-Songvi-EMU,"S, Coro, keyb","S
Coro S
Coro A
Coro T
Coro B
keyb",13.5 x 17.5 cm
