ssdl:pid,ssdl:notation,ssdl:placeOfPublication,ssdl:spatialCoverageGettyUri,ssdl:dateOfPublication,ssdl:shortTitle
1850-Missou-EMU,Four-shape,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1850,The Missouri Harmony
1850-Missou-EMU,Four-shape,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1850,The Missouri Harmony
1852-Collec-EMU,Nil,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1852,A Collection of Hymns
1852-Peters-EMU,Round,"Saint Louis, MO;Cincinnati, OH",http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7013604,1851?,Peters' Catholic Harmonist
1852-Reviva-EMU,Nil,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1852,Revival Hymns
1853-Temple-EMU,Nil,"New York, NY;Boston, MA;Cincinnati, OH",http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/7013604,1853,Temple Melodies
1853-Wester-EMU,Seven-shape Johnson,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1853,The Western Psalmodist
1885-Gospel-EMU,Seven-shape Aikin,"Dayton, VA;Philadelphia, PA;Dalton, GA;Barnesville, GA;Columbia, TN",http://vocab.getty.edu/page/tgn/2111441;http://vocab.getty.edu/page/tgn/7014406;http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/2022106;http://vocab.getty.edu/page/tgn/2022106;http://vocab.getty.edu/page/tgn/2308580,1885?,The Gospel Shower
1855-Sacred-EMU,Numeral,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1855,The Sacred Psalmist
1855-Vocalm-EMU,Round,"Baltimore, MD?",http://vocab.getty.edu/page/tgn/7013352,1855?,Vocal Music Simplified
1857-Hymnss-EMU,Nil,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1857,"Hymns, Selected and Original"
1857-Kirche-EMU,Nil,"St. Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1857,Kirchen-Gesangbuch für Evangelisch-Lutherische Gemeinden
1858-Sacred-EMU,Nil,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1858,Sacred Melodeon
1859-Songso-EMU,Nil,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1859,Songs of Zion
1859-Southe-EMU,Nil,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1859,The Southern Psalmist
1859-Wesley-EMU,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1859,The Wesleyan Hymn and Tune Book
1860-Evange-EMU,Nil,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1860,Evangelical Lutheran Catechism
1860-Hymnis-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1860,The Hymnist
1860-Oriola-EMU,Round,"Cincinnati, OH;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567,1860,Oriola
1860-Unionh-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1860,The Union Harp and Revival Chorister
1861-Psalms-EMU,Nil,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1861,Psalms and Hymns and Spiritual Songs
1869-Specim-EMU,Nil,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1869,Specimen of a Church Hymnal
1862-Hymnsf-EMU,Nil,"Raleigh, NC",http://vocab.getty.edu/page/tgn/7013949,1862,Hymns for the Camp
1864-Confed-EMU,Nil,"Greenville, SC",http://vocab.getty.edu/page/tgn/7014143,1864,The Confederate Sunday School Hymnbook
1865-Musica-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1865,Musical Leaves for Sabbath Schools
1867-Golden-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1867,The Golden Crown
1867-Violet-EMU,Round;Numeral staff,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1867,The Violet
1868-Chapel-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1868,Chapel Gems for Sunday Schools
1868-Eclect-EMU,Nil,"Baltimore, MA",http://vocab.getty.edu/page/tgn/7013352,1868,The Eclectic Sabbath-School Hymn-Book
1868-Hymnsa-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1868,Hymns and Tunes
1868-School-EMU,Nil,"New York, NY",http://vocab.getty.edu/page/tgn/7007567,1868,School Lyrics
1868-Shinin-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1868,Shining Pearls
1869-Songsf-EMU,Round,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1869,Songs for the New Life
1871-Christ-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1871,The Christian Hymnal
1871-Kindwo-EMU,Round,"Memphis, TN",http://vocab.getty.edu/page/tgn/7017750,1871,Kind Words
1872-Harfen-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7007567,1872,Harfen-Klænge
1872-Newhar-EMU,Numeral staff;Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1872?,The New Harp of Zion
1873-Fruits-EMU,Seven-shape Walker,"Philadelphia, PA",http://vocab.getty.edu/page/tgn/7014406,1873,Fruits and Flowers
1873-Hymnsf-EMU,Nil,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1873,Hymns for Schools and Families
1873-Songsf-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7007567,1873,Songs for Worship
1874-Bookof-EMU,Round,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1874,Book of Hymns and Tunes
1874-Contri-EMU,Round,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1874,Contributions to the Hymnody of the Church
1874-Everys-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1874,Every Sabbath
1874-Golden-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1874,The Golden Gate
1874-Palmof-EMU,Round,"St. Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1874,The Palm of Victory
1876-Bibles-EMU,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1876,Bible Songs
1875-Devoti-EMU,Nil,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1875,Devotional Hymns
1875-Gospel-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1875,The Gospel Trumpet
1876-Melodi-EMU,Seven-shape Funk,"Singers Glen, VA",http://vocab.getty.edu/page/tgn/2114254,1876,Melodies of Praise
1876-Storyo-EMU,Round,"London, United Kingdom",http://vocab.getty.edu/page/tgn/8725268,1876,The Story of the Jubilee Singers
1877-Jasper-EMU,Round,"Cincinnati, OH
New York, NY","http://vocab.getty.edu/page/tgn/7013604
http://vocab.getty.edu/page/tgn/7007567",1877,Jasper and Gold
1877-Mornin-EMU,Round,"Cincinnati, OH;St. Louis, MO",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7014444,1877,The Morning Star
1877-Newmel-EMU,Seven-shape Aikin,"Dayton, VA",http://vocab.getty.edu/page/tgn/2111441,1877,New Melodies of Praise
1878-Golden-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1878,Golden Shore
1878-Gospe1-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1878,Gospel and Temperance Songs
1878-Gospe2-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1878,The Gospel Male Choir
1878-Helpin-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1878,The Helping Hand
