ssdl:pid,ssdl:notation
1850-Missou-EMU,Four-shape
1850-Missou-EMU,Four-shape
1852-Collec-EMU,Nil
1852-Peters-EMU,Round
1852-Reviva-EMU,Nil
1853-Temple-EMU,Nil
1853-Wester-EMU,Seven-shape Johnson
1885-Gospel-EMU,Seven-shape Aikin
1855-Sacred-EMU,Numeral
1855-Vocalm-EMU,Round
1857-Hymnss-EMU,Nil
1857-Kirche-EMU,Nil
1858-Sacred-EMU,Nil
1859-Songso-EMU,Nil
1859-Southe-EMU,Nil
1859-Wesley-EMU,Round
1860-Evange-EMU,Nil
1860-Hymnis-EMU,Round
1860-Oriola-EMU,Round
1860-Unionh-EMU,Round
1861-Psalms-EMU,Nil
1869-Specim-EMU,Nil
1862-Hymnsf-EMU,Nil
1864-Confed-EMU,Nil
1865-Musica-EMU,Round
1867-Golden-EMU,Round
1867-Violet-EMU,Round;Numeral staff
1868-Chapel-EMU,Round
1868-Eclect-EMU,Nil
1868-Hymnsa-EMU,Round
1868-School-EMU,Nil
1868-Shinin-EMU,Round
1869-Songsf-EMU,Round
1871-Christ-EMU,Round
1871-Kindwo-EMU,Round
1872-Harfen-EMU,Round
1872-Newhar-EMU,Numeral staff;Round
1873-Fruits-EMU,Seven-shape Walker
1873-Hymnsf-EMU,Nil
1873-Songsf-EMU,Round
1874-Bookof-EMU,Round
1874-Contri-EMU,Round
1874-Everys-EMU,Round
1874-Golden-EMU,Round
1874-Palmof-EMU,Round
1876-Bibles-EMU,Round
1875-Devoti-EMU,Nil
1875-Gospel-EMU,Round
1876-Melodi-EMU,Seven-shape Funk
1876-Storyo-EMU,Round
1877-Jasper-EMU,Round
1877-Mornin-EMU,Round
1877-Newmel-EMU,Seven-shape Aikin
1878-Golden-EMU,Round
1878-Gospe1-EMU,Round
1878-Gospe2-EMU,Round
1878-Helpin-EMU,Round
1878-Hymnal-EMU,Round
1878-Lastwo-EMU,Seven-shape Aikin
1878-Revivi-EMU,Nil
1878-Tiding-EMU,Round
1879-Bapti2-EMU,Round
1879-Primit-EMU,Round
1879-Sacred-EMU,Nil
1879-Songvi-EMU,Round
1879-Wreath-EMU,Round
